Année;Collège;Valeur;Unité;Indicateur
2021;Cadre;207;nombre;Nombre de départs
2020;Cadre;202;nombre;Nombre de départs
2019;Cadre;239;nombre;Nombre de départs
2021;Maitrise;346;nombre;Nombre de départs
2020;Maitrise;304;nombre;Nombre de départs
2019;Maitrise;295;nombre;Nombre de départs
2021;Execution;14;nombre;Nombre de départs
2020;Execution;14;nombre;Nombre de départs
2019;Execution;24;nombre;Nombre de départs
