Année,Perimètre juridique,Perimètre spatial,Spatial perimeter,Indicateur,Indicator,Type de contrat,Type of contract,Collège,Employee category,Plage M3E,M3E classification,Genre,Gender,Valeur,Unité,Unit,Chapitre du bilan social
2020,EDF SA,France,France,Promotions dans un collège supérieur,Promotions to a Higher Employee Category,Statutaire,Statutory,Exécution vers Maîtrise,Operative to Supervisor,,,Homme,Male,302.0,nombre,number,§1.5.1
2020,EDF SA,France,France,Promotions dans un collège supérieur,Promotions to a Higher Employee Category,Statutaire,Statutory,Exécution vers Maîtrise,Operative to Supervisor,,,Femme,Female,99.0,nombre,number,§1.5.1
2020,EDF SA,France,France,Promotions dans un collège supérieur,Promotions to a Higher Employee Category,Statutaire,Statutory,Maîtrise vers Cadre,Supervisor to Manager,,,Homme,Male,361.0,nombre,number,§1.5.1
2020,EDF SA,France,France,Promotions dans un collège supérieur,Promotions to a Higher Employee Category,Non statutaire CDI,Permanent non-staturory,Maîtrise vers Cadre,Supervisor to Manager,,,Homme,Male,0.0,nombre,number,§1.5.1
2019,EDF SA,France,France,Promotions dans un collège supérieur,Promotions to a Higher Employee Category,Non statutaire CDI,Permanent non-staturory,Maîtrise vers Cadre,Supervisor to Manager,,,Homme,Male,0.0,nombre,number,§1.5.1
2019,EDF SA,France,France,Promotions dans un collège supérieur,Promotions to a Higher Employee Category,Statutaire,Statutory,Maîtrise vers Cadre,Supervisor to Manager,,,Homme,Male,446.0,nombre,number,§1.5.1
2019,EDF SA,France,France,Promotions dans un collège supérieur,Promotions to a Higher Employee Category,Statutaire,Statutory,Exécution vers Maîtrise,Operative to Supervisor,,,Homme,Male,339.0,nombre,number,§1.5.1
2019,EDF SA,France,France,Promotions dans un collège supérieur,Promotions to a Higher Employee Category,Non statutaire CDI,Permanent non-staturory,Exécution vers Maîtrise,Operative to Supervisor,,,Femme,Female,0.0,nombre,number,§1.5.1
2019,EDF SA,France,France,Promotions dans un collège supérieur,Promotions to a Higher Employee Category,Statutaire,Statutory,Exécution vers Maîtrise,Operative to Supervisor,,,Femme,Female,132.0,nombre,number,§1.5.1
2019,EDF SA,France,France,Promotions dans un collège supérieur,Promotions to a Higher Employee Category,Non statutaire CDI,Permanent non-staturory,Exécution vers Maîtrise,Operative to Supervisor,,,Homme,Male,0.0,nombre,number,§1.5.1
2019,EDF SA,France,France,Promotions dans un collège supérieur,Promotions to a Higher Employee Category,Statutaire,Statutory,Maîtrise vers Cadre,Supervisor to Manager,,,Femme,Female,178.0,nombre,number,§1.5.1
2019,EDF SA,France,France,Promotions dans un collège supérieur,Promotions to a Higher Employee Category,Non statutaire CDI,Permanent non-staturory,Maîtrise vers Cadre,Supervisor to Manager,,,Femme,Female,0.0,nombre,number,§1.5.1
2018,EDF SA,France,France,Promotions dans un collège supérieur,Promotions to a Higher Employee Category,Statutaire,Statutory,Exécution vers Maîtrise,Operative to Supervisor,,,Homme,Male,251.0,nombre,number,§1.5.1
2018,EDF SA,France,France,Promotions dans un collège supérieur,Promotions to a Higher Employee Category,Statutaire,Statutory,Exécution vers Maîtrise,Operative to Supervisor,,,Femme,Female,103.0,nombre,number,§1.5.1
2018,EDF SA,France,France,Promotions dans un collège supérieur,Promotions to a Higher Employee Category,Non statutaire CDI,Permanent non-staturory,Maîtrise vers Cadre,Supervisor to Manager,,,Femme,Female,0.0,nombre,number,§1.5.1
2018,EDF SA,France,France,Promotions dans un collège supérieur,Promotions to a Higher Employee Category,Statutaire,Statutory,Maîtrise vers Cadre,Supervisor to Manager,,,Homme,Male,441.0,nombre,number,§1.5.1
2018,EDF SA,France,France,Promotions dans un collège supérieur,Promotions to a Higher Employee Category,Non statutaire CDI,Permanent non-staturory,Maîtrise vers Cadre,Supervisor to Manager,,,Homme,Male,0.0,nombre,number,§1.5.1
2018,EDF SA,France,France,Promotions dans un collège supérieur,Promotions to a Higher Employee Category,Non statutaire CDI,Permanent non-staturory,Exécution vers Maîtrise,Operative to Supervisor,,,Femme,Female,0.0,nombre,number,§1.5.1
2018,EDF SA,France,France,Promotions dans un collège supérieur,Promotions to a Higher Employee Category,Statutaire,Statutory,Maîtrise vers Cadre,Supervisor to Manager,,,Femme,Female,165.0,nombre,number,§1.5.1
2018,EDF SA,France,France,Promotions dans un collège supérieur,Promotions to a Higher Employee Category,Non statutaire CDI,Permanent non-staturory,Exécution vers Maîtrise,Operative to Supervisor,,,Homme,Male,0.0,nombre,number,§1.5.1
2017,EDF SA,France,France,Promotions dans un collège supérieur,Promotions to a Higher Employee Category,Statutaire,Statutory,Exécution vers Maîtrise,Operative to Supervisor,,,Homme,Male,269.0,nombre,number,§1.5.1
2017,EDF SA,France,France,Promotions dans un collège supérieur,Promotions to a Higher Employee Category,Statutaire,Statutory,Exécution vers Maîtrise,Operative to Supervisor,,,Femme,Female,118.0,nombre,number,§1.5.1
2017,EDF SA,France,France,Promotions dans un collège supérieur,Promotions to a Higher Employee Category,Statutaire,Statutory,Maîtrise vers Cadre,Supervisor to Manager,,,Femme,Female,152.0,nombre,number,§1.5.1
2017,EDF SA,France,France,Promotions dans un collège supérieur,Promotions to a Higher Employee Category,Non statutaire CDI,Permanent non-staturory,Maîtrise vers Cadre,Supervisor to Manager,,,Homme,Male,1.0,nombre,number,§1.5.1
2017,EDF SA,France,France,Promotions dans un collège supérieur,Promotions to a Higher Employee Category,Statutaire,Statutory,Maîtrise vers Cadre,Supervisor to Manager,,,Homme,Male,445.0,nombre,number,§1.5.1
2017,EDF SA,France,France,Promotions dans un collège supérieur,Promotions to a Higher Employee Category,Non statutaire CDI,Permanent non-staturory,Exécution vers Maîtrise,Operative to Supervisor,,,Femme,Female,0.0,nombre,number,§1.5.1
2017,EDF SA,France,France,Promotions dans un collège supérieur,Promotions to a Higher Employee Category,Non statutaire CDI,Permanent non-staturory,Maîtrise vers Cadre,Supervisor to Manager,,,Femme,Female,0.0,nombre,number,§1.5.1
2017,EDF SA,France,France,Promotions dans un collège supérieur,Promotions to a Higher Employee Category,Non statutaire CDI,Permanent non-staturory,Exécution vers Maîtrise,Operative to Supervisor,,,Homme,Male,0.0,nombre,number,§1.5.1
