Année;Perimètre juridique;Perimètre spatial;Indicateur;Valeur;Unité;Chapitre du bilan social
2023;EDF SA;France;Pourcentage de l’assiette des rémunérations soumises aux cotisations de sécurité sociale du régime général afférent à la formation continue;8.1;%;§5.1.1
2022;EDF SA;France;Pourcentage de l’assiette des rémunérations soumises aux cotisations de sécurité sociale du régime général afférent à la formation continue;7.5;%;§5.1.1
2021;EDF SA;France;Pourcentage de l’assiette des rémunérations soumises aux cotisations de sécurité sociale du régime général afférent à la formation continue;6.5;%;§5.1.1
2020;EDF SA;France;Pourcentage de l’assiette des rémunérations soumises aux cotisations de sécurité sociale du régime général afférent à la formation continue;6.76;%;§5.1.1
2019;EDF SA;France;Pourcentage de l’assiette des rémunérations soumises aux cotisations de sécurité sociale du régime général afférent à la formation continue;8.33;%;§5.1.1
2018;EDF SA;France;Pourcentage de l’assiette des rémunérations soumises aux cotisations de sécurité sociale du régime général afférent à la formation continue;8.85;%;§5.1.1
2017;EDF SA;France;Pourcentage de l’assiette des rémunérations soumises aux cotisations de sécurité sociale du régime général afférent à la formation continue;8.99;%;§5.1.1
