Année;Perimètre juridique;Perimètre spatial;Indicateur;Collège;Plage M3E;Genre;Valeur;Unité;Chapitre du bilan social
2023;EDF SA;France;Salariés ayant bénéficié d’un congé individuel de formation rémunéré;;;Homme;1.0;nombre;§5.2.1
2022;EDF SA;France;Montant consacré à la formation continue - INTERNE;;;;197978.0;K€;§5.1.2
2022;EDF SA;France;Montant consacré à la formation continue - AUTRES;;;;39216.0;K€;§5.1.2
2022;EDF SA;France;Salariés ayant suivi au moins un stage;;E;Femme;434.0;Nombre;§5.1.3 bis
2022;EDF SA;France;Salariés ayant suivi au moins un stage;;F;Femme;2195.0;Nombre;§5.1.3 bis
2022;EDF SA;France;Salariés ayant suivi au moins un stage;;H;Homme;2186.0;Nombre;§5.1.3 bis
2022;EDF SA;France;Heures de formation;Cadres;;;1011552.0;Heures;§5.1.4
2022;EDF SA;France;Heures de formation;;B;Homme;70045.0;Heures;§5.1.4 bis
2022;EDF SA;France;Heures de formation;;B;Femme;30427.0;Heures;§5.1.4 bis
2022;EDF SA;France;Heures de formation;;E;Homme;234363.0;Heures;§5.1.4 bis
2022;EDF SA;France;Heures de formation;;F;Homme;395427.0;Heures;§5.1.4 bis
2022;EDF SA;France;Heures de formation;;I;Homme;0.0;Heures;§5.1.4 bis
2022;EDF SA;France;Salariés ayant bénéficié d’un congé individuel de formation rémunéré;;;Homme;10.0;Nombre;§5.2.1
2022;EDF SA;France;Contrats de professionnalisation conclus dans l'année;;;Femme;26.0;Nombre;§5.3.1
2022;EDF SA;France;Salariés ayant suivi au moins un stage;Cadres;;Femme;6301.0;Nombre;§5.1.3
2022;EDF SA;France;Salariés ayant suivi au moins un stage;;A;Femme;421.0;Nombre;§5.1.3 bis
2022;EDF SA;France;Salariés ayant suivi au moins un stage;;C;Femme;2904.0;Nombre;§5.1.3 bis
2022;EDF SA;France;Salariés ayant suivi au moins un stage;;F;Homme;6835.0;Nombre;§5.1.3 bis
2022;EDF SA;France;Salariés ayant suivi au moins un stage;;H;Femme;967.0;Nombre;§5.1.3 bis
2022;EDF SA;France;Salariés ayant suivi au moins un stage;;Sans plage;Homme;2902.0;Nombre;§5.1.3 bis
2022;EDF SA;France;Heures de formation;;E;Femme;16741.0;Heures;§5.1.4 bis
2022;EDF SA;France;Heures de formation;;G;Femme;116130.0;Heures;§5.1.4 bis
2022;EDF SA;France;Heures de formation;;H;Femme;56521.0;Heures;§5.1.4 bis
2022;EDF SA;France;Heures de formation;;Sans plage;Homme;189313.0;Heures;§5.1.4 bis
2022;EDF SA;France;Salariés ayant bénéficié d’un congé individuel de formation rémunéré;;;Femme;6.0;Nombre;§5.2.1
2022;EDF SA;France;Contrats d'apprentissage conclus dans l'année;;;Femme;876.0;Nombre;§5.3.1
2022;EDF SA;France;Contrats de professionnalisation conclus dans l'année;;;Homme;55.0;Nombre;§5.3.1
2022;EDF SA;France;Salariés ayant suivi au moins un stage;Maitrise;;Femme;5656.0;Nombre;§5.1.3
2022;EDF SA;France;Salariés ayant suivi au moins un stage;Exécution;;Homme;2838.0;Nombre;§5.1.3
2022;EDF SA;France;Salariés ayant suivi au moins un stage;;B;Homme;2443.0;Nombre;§5.1.3 bis
2022;EDF SA;France;Salariés ayant suivi au moins un stage;;D;Homme;4593.0;Nombre;§5.1.3 bis
2022;EDF SA;France;Salariés ayant suivi au moins un stage;;D;Femme;1693.0;Nombre;§5.1.3 bis
