Année;Collège;Valeur;Unité;Indicateur
2021;Cadre;2105;nombre;Nombre de salariés formés
2020;Cadre;1969;nombre;Nombre de salariés formés
2019;Cadre;2029;nombre;Nombre de salariés formés
2022;Maitrise;1112;nombre;Nombre de salariés formés
2021;Maitrise;1084;nombre;Nombre de salariés formés
2020;Maitrise;1314;nombre;Nombre de salariés formés
2023;Execution;101;nombre;Nombre de salariés formés
2022;Execution;102;nombre;Nombre de salariés formés
2021;Execution;156;nombre;Nombre de salariés formés
