Année;Perimètre juridique;Perimètre spatial;Indicateur;Type de contrat;Collège;Plage M3E;Genre;Valeur;Unité;Chapitre du bilan social
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;Execution;;Homme;1136.0;€;§2.1.2
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;B;Femme;7666.0;€;§2.1.2.bis
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;G;Femme;3571.0;€;§2.1.2.bis
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;H;Homme;3634.0;€;§2.1.2.bis
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;;sans plage;Homme;1382.0;€;§2.1.2.bis
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;Execution;;Homme;0.0;€;§2.1.2
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;B;Homme;8132.0;€;§2.1.2.bis
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;H;Femme;3044.0;€;§2.1.2.bis
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;I;Femme;3136.0;€;§2.1.2.bis
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;sans plage;Femme;6926.0;€;§2.1.2.bis
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;;sans plage;Femme;9107.0;€;§2.1.2.bis
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;Cadre;;Homme;7353.0;€;§2.1.2
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;Maitrise;;Femme;3913.0;€;§2.1.2
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;Execution;;Homme;3546.0;€;§2.1.2
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;Execution;;Femme;3016.0;€;§2.1.2
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;Cadre;;Femme;9390.0;€;§2.1.2
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;Maitrise;;Homme;3583.0;€;§2.1.2
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;Maitrise;;Femme;3553.0;€;§2.1.2
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;Cadre;;Homme;3322.0;€;§2.1.2
2022;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;Cadre;;Femme;3493.0;€;§2.1.2
