Année;Perimètre juridique;Perimètre spatial;Indicateur;Type de contrat;Collège;Genre;Valeur;Unité;Chapitre du bilan social
2018;EDF SA;France;Promotions dans un collège supérieur;Non statutaire CDI;Maîtrise vers Cadre;Femme;0.0;nombre;§1.5.1
2018;EDF SA;France;Promotions dans un collège supérieur;Statutaire;Maîtrise vers Cadre;Homme;441.0;nombre;§1.5.1
2018;EDF SA;France;Promotions dans un collège supérieur;Non statutaire CDI;Maîtrise vers Cadre;Homme;0.0;nombre;§1.5.1
2018;EDF SA;France;Promotions dans un collège supérieur;Non statutaire CDI;Exécution vers Maîtrise;Femme;0.0;nombre;§1.5.1
2018;EDF SA;France;Promotions dans un collège supérieur;Statutaire;Maîtrise vers Cadre;Femme;165.0;nombre;§1.5.1
2018;EDF SA;France;Promotions dans un collège supérieur;Non statutaire CDI;Exécution vers Maîtrise;Homme;0.0;nombre;§1.5.1
2017;EDF SA;France;Promotions dans un collège supérieur;Statutaire;Exécution vers Maîtrise;Homme;269.0;nombre;§1.5.1
2017;EDF SA;France;Promotions dans un collège supérieur;Statutaire;Exécution vers Maîtrise;Femme;118.0;nombre;§1.5.1
2017;EDF SA;France;Promotions dans un collège supérieur;Statutaire;Maîtrise vers Cadre;Femme;152.0;nombre;§1.5.1
2017;EDF SA;France;Promotions dans un collège supérieur;Non statutaire CDI;Maîtrise vers Cadre;Homme;1.0;nombre;§1.5.1
2017;EDF SA;France;Promotions dans un collège supérieur;Statutaire;Maîtrise vers Cadre;Homme;445.0;nombre;§1.5.1
2017;EDF SA;France;Promotions dans un collège supérieur;Non statutaire CDI;Exécution vers Maîtrise;Femme;0.0;nombre;§1.5.1
2017;EDF SA;France;Promotions dans un collège supérieur;Non statutaire CDI;Maîtrise vers Cadre;Femme;0.0;nombre;§1.5.1
2017;EDF SA;France;Promotions dans un collège supérieur;Non statutaire CDI;Exécution vers Maîtrise;Homme;0.0;nombre;§1.5.1
