Année;Perimètre juridique;Perimètre spatial;Indicateur;Type de contrat;Collège;Genre;Valeur;Unité;Chapitre du bilan social
2021;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Non Statutaires CDI;Cadre;Homme;1772.0;heures;§1.8.7
2021;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Statutaires;Cadre;Femme;91113.0;heures;§1.8.7
2020;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Statutaires;Cadre;Homme;145590.0;heures;§1.8.7
2020;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Statutaires;Maîtrise;Homme;180885.0;heures;§1.8.7
2020;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Non Statutaires CDI;Cadre;Femme;1824.0;heures;§1.8.7
2020;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Non Statutaires CDI;Maîtrise;Femme;26.0;heures;§1.8.7
2020;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Statutaires;Maîtrise;Femme;91574.0;heures;§1.8.7
2020;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Statutaires;Exécution;Femme;19805.0;heures;§1.8.7
2020;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Non Statutaires CDI;Cadre;Homme;1421.0;heures;§1.8.7
2020;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Statutaires;Cadre;Femme;90218.0;heures;§1.8.7
2020;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Statutaires;Exécution;Homme;21209.0;heures;§1.8.7
2020;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Non Statutaires CDI;Exécution;Homme;0.0;heures;§1.8.7
2020;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Non Statutaires CDI;Exécution;Femme;0.0;heures;§1.8.7
2020;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Non Statutaires CDI;Maîtrise;Homme;0.0;heures;§1.8.7
2019;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Statutaires;Cadre;Homme;164942.0;heures;§1.8.7
2019;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Non Statutaires CDI;Exécution;Homme;0.0;heures;§1.8.7
2019;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Non Statutaires CDI;Cadre;Femme;2172.0;heures;§1.8.7
2019;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Non Statutaires CDI;Maîtrise;Homme;24.0;heures;§1.8.7
2019;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Non Statutaires CDI;Maîtrise;Femme;0.0;heures;§1.8.7
2019;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Statutaires;Exécution;Homme;25198.0;heures;§1.8.7
2019;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Non Statutaires CDI;Cadre;Homme;1594.0;heures;§1.8.7
2019;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Statutaires;Maîtrise;Homme;203829.0;heures;§1.8.7
2019;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Statutaires;Maîtrise;Femme;107229.0;heures;§1.8.7
2019;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Non Statutaires CDI;Exécution;Femme;0.0;heures;§1.8.7
2019;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Statutaires;Cadre;Femme;105849.0;heures;§1.8.7
2019;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Statutaires;Exécution;Femme;26345.0;heures;§1.8.7
2018;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Statutaires;Cadre;Homme;132214.0;heures;§1.8.7
2018;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Statutaires;Cadre;Femme;218293.0;heures;§1.8.7
2018;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Non Statutaires CDI;Cadre;Homme;735.0;heures;§1.8.7
2018;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Statutaires;Exécution;Homme;20247.0;heures;§1.8.7
2018;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Statutaires;Exécution;Femme;48808.0;heures;§1.8.7
2018;EDF SA;France;Absence pour congés autorisés (événements familiaux, congés mères de famille, congés spéciaux…);Non Statutaires CDI;Cadre;Femme;1260.0;heures;§1.8.7
