Année;Perimètre juridique;Perimètre spatial;Indicateur;Valeur;Unité;Chapitre du bilan social
2023;EDF SA;France;Durée moyenne des contrats de travail temporaire;103.0;jours;§1.2.4
2022;EDF SA;France;Durée moyenne des contrats de travail temporaire;118.0;jours;§1.2.4
2021;EDF SA;France;Durée moyenne des contrats de travail temporaire;87.0;jours;§1.2.4
2020;EDF SA;France;Durée moyenne des contrats de travail temporaire;78.0;jours;§1.2.4
2019;EDF SA;France;Durée moyenne des contrats de travail temporaire;79.0;jours;§1.2.4
2018;EDF SA;France;Durée moyenne des contrats de travail temporaire;61.0;jours;§1.2.4
2017;EDF SA;France;Durée moyenne des contrats de travail temporaire;73.0;jours;§1.2.4
