Année;Perimètre juridique;Perimètre spatial;Indicateur;Type de contrat;Collège;Sous-catégorie collège;Genre;Plage M3E;Nationalité;Ancienneté;Tranche d'âge;Valeur;Unité;Chapitre du bilan social
2023;EDF SA;France;Effectif;Non statutaires CDI;Exécution;;Homme;;Française;;;0.0;nombre;§1.1.8
2023;EDF SA;France;Effectif;Non statutaires CDD;Exécution;;Homme;;Française;;;1266.0;nombre;§1.1.8
2023;EDF SA;France;Effectif;Statutaires;Maîtrise;;Homme;;Etrangère;;;74.0;nombre;§1.1.8
2023;EDF SA;France;Effectif;Statutaires;Maîtrise;;Femme;;Etrangère;;;36.0;nombre;§1.1.8
2023;EDF SA;France;Effectif;Statutaires;Exécution;;Homme;;Etrangère;;;16.0;nombre;§1.1.8
2023;EDF SA;France;Effectif;Non statutaires CDI;Cadre;;Homme;;Etrangère;;;30.0;nombre;§1.1.8
2023;EDF SA;France;Effectif;Non statutaires CDI;Cadre;;Femme;;Etrangère;;;24.0;nombre;§1.1.8
2023;EDF SA;France;Effectif;Non statutaires CDD;Cadre;;Homme;;Etrangère;;;30.0;nombre;§1.1.8
2023;EDF SA;France;Effectif;Non statutaires CDD;Exécution;;Femme;;Etrangère;;;35.0;nombre;§1.1.8
2023;EDF SA;France;Effectif;Statutaires;Cadre;Cadres;Homme;;;;;20685.0;nombre;§1.1.9
2023;EDF SA;France;Effectif;Non statutaires CDI;Cadre;Cadres Dirigeants;Homme;;;;;61.0;nombre;§1.1.9
2023;EDF SA;France;Effectif;Non statutaires CDI;Cadre;Cadres;Homme;;;;;371.0;nombre;§1.1.9
2023;EDF SA;France;Effectif;Non statutaires CDD;Exécution;Employés;Homme;;;;;177.0;nombre;§1.1.9
2023;EDF SA;France;Effectif;Statutaires;Cadre;Cadres Dirigeants;Femme;;;;;113.0;nombre;§1.1.9
2023;EDF SA;France;Effectif;Non statutaires CDI;Cadre;Cadres;Femme;;;;;281.0;nombre;§1.1.9
2023;EDF SA;France;Effectif;Non statutaires CDI;Exécution;Ouvriers;Femme;;;;;2.0;nombre;§1.1.9
2023;EDF SA;France;Effectif;Non statutaires CDD;Maîtrise;Maîtrise;Femme;;;;;898.0;nombre;§1.1.9
2023;EDF SA;France;Effectif;Statutaires;;;Homme;A;;;;1846.0;nombre;§1.1.9bis
2023;EDF SA;France;Effectif;Statutaires;;;Homme;E;;;;3601.0;nombre;§1.1.9bis
2023;EDF SA;France;Effectif;Statutaires;;;Homme;G;;;;7008.0;nombre;§1.1.9bis
2023;EDF SA;France;Effectif;Non statutaires CDI;Cadre;;Femme;;;;Moins de 25 ans;2.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDI;Maîtrise;;Homme;;;;Moins de 25 ans;1.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDI;Exécution;;Femme;;;;Moins de 25 ans;0.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDD;Cadre;;Homme;;;;Moins de 25 ans;33.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Statutaires;Cadre;;Homme;;;;De 25 à 35 ans;4263.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Statutaires;Maîtrise;;Femme;;;;De 25 à 35 ans;1529.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDI;Maîtrise;;Homme;;;;De 25 à 35 ans;2.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDD;Maîtrise;;Homme;;;;De 25 à 35 ans;182.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDD;Exécution;;Homme;;;;De 25 à 35 ans;77.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Statutaires;Maîtrise;;Femme;;;;De 36 à 45 ans;2235.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDD;Cadre;;Femme;;;;De 36 à 45 ans;0.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDD;Maîtrise;;Femme;;;;De 36 à 45 ans;8.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDD;Exécution;;Femme;;;;De 36 à 45 ans;6.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Statutaires;Cadre;;Homme;;;;De 46 à 55 ans;6860.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Statutaires;Exécution;;Homme;;;;De 46 à 55 ans;250.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDI;Cadre;;Homme;;;;De 46 à 55 ans;127.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDI;Cadre;;Femme;;;;De 46 à 55 ans;92.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDD;Maîtrise;;Femme;;;;De 46 à 55 ans;2.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Statutaires;Cadre;;Femme;;;;De 56 à 60 ans;967.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDD;Exécution;;Femme;;;;De 56 à 60 ans;23.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Statutaires;Maîtrise;;Homme;;;;61 ans et plus;254.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDI;Cadre;;Femme;;;;61 ans et plus;25.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDI;Maîtrise;;Femme;;;;61 ans et plus;2.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDD;Exécution;;Homme;;;;61 ans et plus;2.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDD;Exécution;;Femme;;;;61 ans et plus;12.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Statutaires;Cadre;;Femme;;;Moins de 5 ans;;1365.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Non statutaires CDI;Cadre;;Homme;;;Moins de 5 ans;;332.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Non statutaires CDI;Maîtrise;;Femme;;;Moins de 5 ans;;13.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Non statutaires CDI;Cadre;;Homme;;;De 5 à moins de 10 ans;;98.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Non statutaires CDI;Cadre;;Femme;;;De 5 à moins de 10 ans;;73.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Non statutaires CDI;Maîtrise;;Femme;;;De 5 à moins de 10 ans;;7.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Statutaires;Cadre;;Homme;;;De 10 à moins de 15 ans;;4451.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Statutaires;Maîtrise;;Femme;;;De 10 à moins de 15 ans;;1779.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Non statutaires CDI;Maîtrise;;Homme;;;De 10 à moins de 15 ans;;0.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Non statutaires CDI;Maîtrise;;Femme;;;De 10 à moins de 15 ans;;2.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Non statutaires CDI;Exécution;;Femme;;;De 10 à moins de 15 ans;;0.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Statutaires;Cadre;;Homme;;;De 15 à moins de 20 ans;;2058.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Non statutaires CDI;Maîtrise;;Homme;;;De 20 à moins de 25 ans;;0.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Non statutaires CDI;Exécution;;Homme;;;De 25 à moins de 30 ans;;0.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Non statutaires CDI;Exécution;;Femme;;;De 25 à moins de 30 ans;;1.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Statutaires;Cadre;;Homme;;;De 30 à moins de 35 ans;;2311.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Non statutaires CDI;Maîtrise;;Homme;;;De 30 à moins de 35 ans;;0.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Statutaires;Cadre;;Homme;;;35 ans et plus;;1400.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Statutaires;Maîtrise;;Homme;;;35 ans et plus;;542.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Statutaires;Exécution;;Homme;;;35 ans et plus;;22.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Non statutaires CDI;Cadre;;Homme;;;35 ans et plus;;0.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Non statutaires CDI;Cadre;;Femme;;;35 ans et plus;;0.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Non statutaires CDI;Exécution;;Femme;;;35 ans et plus;;0.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Non statutaires CDI;Maîtrise;;Homme;;Française;;;11.0;nombre;§1.1.8
2023;EDF SA;France;Effectif;Non statutaires CDI;Maîtrise;;Femme;;Française;;;22.0;nombre;§1.1.8
2023;EDF SA;France;Effectif;Non statutaires CDD;Cadre;;Femme;;Française;;;44.0;nombre;§1.1.8
2023;EDF SA;France;Effectif;Non statutaires CDD;Maîtrise;;Femme;;Française;;;805.0;nombre;§1.1.8
2023;EDF SA;France;Effectif;Non statutaires CDD;Exécution;;Femme;;Française;;;652.0;nombre;§1.1.8
