Année;Perimètre juridique;Perimètre spatial;Indicateur;Type de contrat;Collège;Genre;Valeur;Unité;Chapitre du bilan social
2019;EDF SA;France;Démissions;Statutaires;Maîtrise;Homme;74.0;nombre;§1.4.2
2019;EDF SA;France;Démissions;Statutaires;Exécution;Femme;6.0;nombre;§1.4.2
2019;EDF SA;France;Démissions;Non statutaires CDI;Maîtrise;Homme;0.0;nombre;§1.4.2
2019;EDF SA;France;Démissions;Non statutaires CDI;Exécution;Femme;0.0;nombre;§1.4.2
2018;EDF SA;France;Démissions;Statutaires;Maîtrise;Homme;59.0;nombre;§1.4.2
2018;EDF SA;France;Démissions;Non statutaires CDI;Cadre;Femme;11.0;nombre;§1.4.2
2018;EDF SA;France;Démissions;Non statutaires CDI;Maîtrise;Homme;1.0;nombre;§1.4.2
2018;EDF SA;France;Démissions;Non statutaires CDI;Exécution;Homme;0.0;nombre;§1.4.2
2018;EDF SA;France;Démissions;Non statutaires CDI;Exécution;Femme;1.0;nombre;§1.4.2
2018;EDF SA;France;Démissions;Statutaires;Exécution;Homme;11.0;nombre;§1.4.2
2018;EDF SA;France;Démissions;Non statutaires CDI;Maîtrise;Femme;0.0;nombre;§1.4.2
2018;EDF SA;France;Démissions;Statutaires;Cadre;Homme;125.0;nombre;§1.4.2
2018;EDF SA;France;Démissions;Statutaires;Cadre;Femme;48.0;nombre;§1.4.2
2018;EDF SA;France;Démissions;Statutaires;Maîtrise;Femme;25.0;nombre;§1.4.2
2018;EDF SA;France;Démissions;Statutaires;Exécution;Femme;3.0;nombre;§1.4.2
2018;EDF SA;France;Démissions;Non statutaires CDI;Cadre;Homme;17.0;nombre;§1.4.2
2017;EDF SA;France;Démissions;Statutaires;Cadre;Femme;37.0;nombre;§1.4.2
2017;EDF SA;France;Démissions;Non statutaires CDI;Cadre;Homme;11.0;nombre;§1.4.2
2017;EDF SA;France;Démissions;Non statutaires CDI;Exécution;Femme;0.0;nombre;§1.4.2
2017;EDF SA;France;Démissions;Non statutaires CDI;Cadre;Femme;7.0;nombre;§1.4.2
2017;EDF SA;France;Démissions;Statutaires;Maîtrise;Homme;31.0;nombre;§1.4.2
2017;EDF SA;France;Démissions;Non statutaires CDI;Exécution;Homme;0.0;nombre;§1.4.2
2017;EDF SA;France;Démissions;Statutaires;Exécution;Homme;8.0;nombre;§1.4.2
2017;EDF SA;France;Démissions;Statutaires;Exécution;Femme;8.0;nombre;§1.4.2
2017;EDF SA;France;Démissions;Statutaires;Cadre;Homme;87.0;nombre;§1.4.2
2017;EDF SA;France;Démissions;Statutaires;Maîtrise;Femme;10.0;nombre;§1.4.2
2017;EDF SA;France;Démissions;Non statutaires CDI;Maîtrise;Homme;0.0;nombre;§1.4.2
2017;EDF SA;France;Démissions;Non statutaires CDI;Maîtrise;Femme;0.0;nombre;§1.4.2
